contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
project_7153509_bot_7ca269a66ac9cc6ca2f90b68d42d3661,test,Bot,59,2,1.0,1,1.0,59.0,59.0,0.0,0.0,0.0,29.5,29.5,9.192,0.11,6.5,59.0,59.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2016.01,2016.01,0.0,0.0,0.0,,,0.0,0.0,,34.759,0.0,73.989,0.782,0.001,41.192,0.0,71.868,0.666,53.705
project_74823_bot_eecfeb210f383dd51e07077f09ad39a1,test,Bot,243,2,1.0,1,1.0,243.0,243.0,0.0,0.0,0.0,121.5,121.5,170.413,0.496,120.5,243.0,243.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1834.431,1834.431,0.0,0.0,0.0,,,0.0,0.0,,7.58,2.897,12.274,0.657,8.024,0.252,0.252,0.0,0.0,0.0
project_34675721_bot_63c565833c0f8145e9e29ea80c3a260a,test,Bot,92,1,1.0,1,1.0,92.0,92.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2139.955,2139.955,0.0,0.0,0.0,,,0.0,0.0,,23.516,8.942,45.977,0.667,23.333,,,0.0,0.0,
nomadic-margebot,test,Bot,204,4,2.0,1,0.5,102.0,102.0,94.752,0.328,67.0,51.0,53.0,33.407,0.309,49.0,3.091,1.0,3.427,0.49,3.75,2.5,2.5,2.121,0.3,1.5,0.294,0.0,0.579,0.545,0.291,2.106,0.567,7.975,0.773,0.251,0.77,0.107,4.588,0.86,0.523,0.895,0.084,5.145,0.878,0.523
project_1148549_bot_d81065e21dec9d41dc5634b28be45f2d,test,Bot,233,6,1.0,1,1.0,233.0,233.0,0.0,0.0,0.0,38.833,35.5,39.997,0.494,69.0,233.0,233.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1455.127,1455.127,0.0,0.0,0.0,,,0.0,0.0,,6.272,0.003,19.804,0.906,0.344,6.947,0.002,20.874,0.897,0.041
project_1148549_bot_56abfea0258612034835203d73f47c34,test,Bot,178,2,1.0,1,1.0,178.0,178.0,0.0,0.0,0.0,89.0,89.0,124.451,0.494,88.0,178.0,178.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1445.343,1445.343,0.0,0.0,0.0,,,0.0,0.0,,8.166,2.12,15.422,0.744,7.949,1.554,1.554,0.0,0.0,0.0
project_1148549_bot_21bb566b6bbb2eb9618a42a7d1859a47,test,Bot,245,4,2.0,2,1.0,122.5,122.5,167.584,0.484,118.5,61.25,31.0,84.445,0.607,84.25,27.222,7.0,39.896,0.663,44.0,2.5,2.5,2.121,0.3,1.5,159.033,20.682,219.865,0.394,302.412,1.985,0.001,5.614,0.857,0.0,5.931,0.001,23.849,0.904,0.003,11.597,0.003,32.622,0.852,8.089
project_1148549_bot_54f67ee4e7c31c72c1458fe69ffda620,test,Bot,158,2,1.0,1,1.0,158.0,158.0,0.0,0.0,0.0,79.0,79.0,110.309,0.494,78.0,158.0,158.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1455.092,1455.092,0.0,0.0,0.0,,,0.0,0.0,,9.268,3.213,23.927,0.736,7.232,1.813,1.813,0.0,0.0,0.0
project_5261717_bot_496b695b4cbdf5e91b5be590c1d72f72,test,Bot,191,2,1.0,1,1.0,191.0,191.0,0.0,0.0,0.0,95.5,95.5,133.643,0.495,94.5,191.0,191.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1703.066,1703.066,0.0,0.0,0.0,,,0.0,0.0,,8.964,2.691,16.161,0.692,8.132,10.929,10.929,0.0,0.0,0.0
project_5261717_bot_c61048c9d61862d90bd10ad33a54aabc,test,Bot,135,5,2.0,2,1.0,67.5,67.5,92.631,0.485,65.5,27.0,12.0,31.008,0.519,19.0,27.0,29.0,26.683,0.486,40.0,3.0,3.0,2.828,0.333,2.0,215.455,119.963,330.482,0.416,165.318,0.0,0.0,0.0,0.0,0.0,8.039,0.0,35.149,0.898,0.001,14.558,0.0,46.419,0.865,0.002
project_3828396_bot_0f903a4c2ee94e92e669bf76d6f1c4a6,test,Bot,6,1,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1328.885,1328.885,0.0,0.0,0.0,,,0.0,0.0,,265.777,152.096,306.616,0.556,504.438,,,0.0,0.0,
project_2009901_bot_74b13bc7f440243490fab52f7ffc4d35,test,Bot,149,2,1.0,1,1.0,149.0,149.0,0.0,0.0,0.0,74.5,74.5,103.945,0.493,73.5,149.0,149.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1860.68,1860.68,0.0,0.0,0.0,,,0.0,0.0,,12.572,5.846,18.039,0.643,11.415,8.956,8.956,0.0,0.0,0.0
project_7071551_bot_6c18b737953d30166b19f5c7124223bc,test,Bot,223,1,1.0,1,1.0,223.0,223.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0,223.0,223.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2182.224,2182.224,0.0,0.0,0.0,,,0.0,0.0,,9.83,3.358,19.669,0.703,8.721,,,0.0,0.0,
project_7071551_bot_f5fdad4eae13d23093bbe3413d011d9e,test,Bot,274,2,3.0,2,0.667,91.333,1.0,156.462,0.659,135.5,137.0,137.0,72.125,0.186,51.0,54.8,12.0,71.786,0.607,100.0,1.333,1.0,0.577,0.167,0.5,413.935,96.912,553.345,0.367,735.202,4.276,3.892,2.513,0.28,2.663,7.644,1.488,21.944,0.774,6.742,6.12,0.001,24.422,0.855,3.662
fsdk-marge-bot,test,Bot,204,6,2.0,1,0.5,102.0,102.0,138.593,0.48,98.0,34.0,30.5,24.372,0.358,39.5,40.8,30.0,42.423,0.508,73.0,4.0,4.0,2.828,0.25,2.0,12.982,7.687,14.466,0.411,27.384,3.62,2.922,3.986,0.518,5.253,0.391,0.001,1.733,0.944,0.002,0.347,0.001,1.42,0.938,0.001
glrenovatebot,test,Bot,292,6,20.0,7,0.35,14.6,4.0,29.763,0.701,7.5,48.667,46.5,47.098,0.466,80.25,5.123,2.0,7.735,0.592,3.0,2.25,2.0,1.209,0.286,2.0,0.421,0.002,3.102,0.968,0.007,2.094,0.03,6.443,0.898,0.113,0.485,0.001,3.22,0.974,0.004,0.557,0.001,3.464,0.971,0.004
group_1112072_bot_165944cd6e64b38b4c0520d5edcd2053,test,Bot,8,1,1.0,1,1.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1176.01,1176.01,0.0,0.0,0.0,,,0.0,0.0,,168.001,168.001,0.003,0.0,0.004,,,0.0,0.0,
group_1112072_bot_d014cc61531b07b593822b83bea118a3,test,Bot,80,1,1.0,1,1.0,80.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,917.367,917.367,0.0,0.0,0.0,,,0.0,0.0,,11.612,6.632,14.008,0.575,10.994,,,0.0,0.0,
group_1112072_bot_fe57696218e80a2d38f21d17114b3f65,test,Bot,184,1,1.0,1,1.0,184.0,184.0,0.0,0.0,0.0,184.0,184.0,0.0,0.0,0.0,184.0,184.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1455.0,1455.0,0.0,0.0,0.0,,,0.0,0.0,,7.951,8.0,0.596,0.007,0.002,,,0.0,0.0,
group_1112072_bot_0d41afb74ecfaa55ec5343f59ceb3a78,test,Bot,12,1,1.0,1,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,762.04,762.04,0.0,0.0,0.0,,,0.0,0.0,,69.276,2.003,125.414,0.753,86.998,,,0.0,0.0,
project_14292404_bot_57d28a1bb55cd4dd0db2d62e98d1949b,test,Bot,6,2,1.0,1,1.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,2.828,0.333,2.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1038.753,1038.753,0.0,0.0,0.0,,,0.0,0.0,,207.751,115.6,306.998,0.627,154.985,9.593,9.593,0.0,0.0,0.0
project_734943_bot_a69f6c6d12e0117b341434920c8eba0d,test,Bot,33,2,1.0,1,1.0,33.0,33.0,0.0,0.0,0.0,16.5,16.5,21.92,0.47,15.5,33.0,33.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2110.152,2110.152,0.0,0.0,0.0,,,0.0,0.0,,65.942,34.145,77.834,0.579,93.037,184.289,184.289,0.0,0.0,0.0
group_10870176_bot_74544bb7e730d4b0d05330e11754cbff,test,Bot,27,1,1.0,1,1.0,27.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.596,15.596,0.0,0.0,0.0,,,0.0,0.0,,0.6,0.001,2.897,0.957,0.001,,,0.0,0.0,
