contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
derkan,test,Human,24,9,8,8,1.0,3.0,2.5,2.39,0.385,3.0,2.667,2.0,1.658,0.306,2.0,2.0,1.0,2.0,0.382,1.0,2.0,2.0,0.926,0.234,2.0,0.129,0.0,0.254,0.471,0.147,161.591,74.954,237.537,0.664,200.599,77.35,0.315,180.134,0.831,41.341,89.39,0.363,199.851,0.82,58.111
juliatagbot,test,Bot,229,6,55,44,0.8,4.164,1.0,20.329,0.73,0.0,38.167,39.5,36.745,0.448,67.5,1.924,1.0,1.627,0.354,1.0,1.127,1.0,0.474,0.106,0.0,0.051,0.0,0.276,0.875,0.0,0.246,0.036,0.45,0.715,0.313,0.154,0.01,0.391,0.81,0.131,0.171,0.026,0.416,0.798,0.154
jco-odoo,test,Human,246,6,2,2,1.0,123.0,123.0,73.539,0.211,52.0,41.0,35.0,39.11,0.472,66.5,3.037,2.0,3.891,0.489,2.0,3.5,3.5,0.707,0.071,0.5,6.689,0.219,16.674,0.759,2.842,7.919,0.851,17.283,0.807,3.342,4.797,0.426,12.803,0.846,2.016,7.031,0.83,15.252,0.799,3.367
groovecoder,test,Human,287,16,6,3,0.5,47.833,2.0,112.761,0.808,1.5,17.938,4.0,25.661,0.65,15.5,26.091,1.0,43.946,0.725,33.5,3.667,2.0,5.086,0.515,0.75,118.654,0.0,205.77,0.306,180.641,49.451,0.649,71.183,0.677,106.289,6.293,0.025,26.073,0.937,0.202,8.021,0.042,29.06,0.921,0.278
brett19,test,Human,159,10,7,3,0.429,22.714,4.0,33.733,0.647,27.5,15.9,13.5,15.947,0.504,18.5,3.975,3.0,3.893,0.433,2.0,3.571,3.0,2.507,0.343,3.0,12.546,0.168,26.384,0.77,8.956,26.396,2.089,45.399,0.739,24.713,9.692,0.107,26.702,0.872,1.903,9.448,0.089,25.2,0.865,2.178
jc00ke,test,Human,180,14,48,36,0.75,3.75,1.0,6.899,0.613,2.0,12.857,7.0,18.241,0.511,9.25,1.837,1.0,1.774,0.364,1.0,1.729,1.0,1.233,0.318,1.0,3.346,0.0,10.86,0.743,0.116,18.549,3.837,35.07,0.741,18.941,11.884,1.299,27.234,0.787,13.424,12.788,1.405,29.435,0.792,14.265
mzeitlin11,test,Human,9,4,2,2,1.0,4.5,4.5,4.95,0.389,3.5,2.25,2.5,0.957,0.194,1.25,4.5,4.5,4.95,0.389,3.5,2.0,2.0,1.414,0.25,1.0,84.392,84.392,119.349,0.0,84.393,205.665,205.665,0.0,0.0,0.0,46.806,0.036,87.194,0.762,42.197,46.806,0.036,87.194,0.762,42.197
sheetalkamat,test,Human,5,3,3,2,0.667,1.667,1.0,1.155,0.267,1.0,1.667,1.0,1.155,0.267,1.0,1.667,1.0,1.155,0.267,1.0,1.0,1.0,0.0,0.0,0.0,0.094,0.0,0.163,0.0,0.142,147.337,147.337,172.574,0.414,122.028,73.739,12.783,130.956,0.706,86.124,147.337,147.337,172.574,0.414,122.028
geerteltink,test,Human,47,7,7,2,0.286,6.714,3.0,8.077,0.535,6.5,6.714,2.0,11.25,0.626,3.0,3.615,1.0,4.273,0.524,6.0,2.0,2.0,1.414,0.306,1.0,22.566,0.0,65.938,0.701,1.174,130.417,85.145,143.983,0.574,198.649,40.399,0.955,90.24,0.818,24.237,41.511,0.15,98.094,0.843,4.655
istio-policy-bot,test,Bot,120,4,5,1,0.2,24.0,2.0,50.314,0.757,1.0,30.0,31.5,21.525,0.346,26.5,10.0,5.0,11.029,0.554,16.0,1.8,1.0,1.304,0.311,1.0,21.51,4.085,29.619,0.329,50.091,7.177,5.382,7.282,0.523,10.815,2.832,0.008,6.326,0.844,0.172,3.928,0.011,7.15,0.777,5.756
sesheta,test,Bot,89,1,1,1,1.0,89.0,89.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,89.0,89.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2183.967,2183.967,0.0,0.0,0.0,,,0.0,0.0,,24.818,23.999,4.38,0.032,0.009,,,0.0,0.0,
tchiotludo,test,Human,230,13,26,2,0.077,8.846,1.0,25.007,0.786,3.0,17.692,13.0,29.193,0.56,12.0,2.987,1.0,3.785,0.512,2.0,2.038,1.0,2.408,0.426,0.75,7.535,0.0,21.715,0.767,0.708,5.809,0.946,12.576,0.75,7.335,4.461,0.247,12.83,0.843,2.266,5.244,0.234,14.771,0.839,2.927
0utplay,test,Human,165,11,9,6,0.667,18.333,2.0,38.471,0.756,8.0,15.0,12.0,15.08,0.472,16.5,6.111,2.0,11.219,0.673,4.0,3.333,2.0,3.0,0.444,4.0,46.404,0.067,172.062,0.839,8.527,26.412,2.069,62.679,0.798,26.266,11.827,0.126,33.318,0.854,7.461,12.323,0.119,35.311,0.855,8.945
openssl-machine,test,Bot,238,4,1,1,1.0,238.0,238.0,0.0,0.0,0.0,59.5,53.0,64.985,0.504,100.0,238.0,238.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,608.12,608.12,0.0,0.0,0.0,,,0.0,0.0,,2.566,0.034,5.029,0.73,2.138,4.06,1.221,4.794,0.593,7.841
neo4j-team-graphql,test,Bot,234,7,3,1,0.333,78.0,31.0,106.579,0.561,98.5,33.429,15.0,46.144,0.546,15.0,8.069,3.0,11.723,0.631,6.0,4.667,4.0,2.082,0.19,2.0,49.432,0.302,104.494,0.759,22.386,9.702,1.653,21.722,0.793,3.469,7.318,0.268,26.922,0.868,3.238,8.142,0.268,33.438,0.889,2.681
datapythonista,test,Human,6,3,2,2,1.0,3.0,3.0,2.828,0.333,2.0,2.0,1.0,1.732,0.333,1.5,3.0,3.0,2.828,0.333,2.0,1.5,1.5,0.707,0.167,0.5,0.06,0.06,0.085,0.0,0.06,469.212,469.212,0.0,0.0,0.0,93.866,0.028,209.825,0.8,0.047,156.429,0.064,270.878,0.667,234.601
cgeo-ci-bot,test,Bot,298,3,1,1,1.0,298.0,298.0,0.0,0.0,0.0,99.333,3.0,167.721,0.651,145.5,298.0,298.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,352.178,352.178,0.0,0.0,0.0,,,0.0,0.0,,1.186,0.0,5.662,0.958,0.0,13.48,0.002,17.799,0.579,23.952
oppiabot[bot],test,Bot,232,2,2,1,0.5,116.0,116.0,130.108,0.397,92.0,116.0,116.0,154.149,0.47,109.0,8.593,3.0,12.22,0.616,9.0,2.0,2.0,0.0,0.0,0.0,7.162,2.496,11.152,0.602,7.615,1.939,1.206,2.062,0.545,2.104,1.055,0.353,1.902,0.717,1.247,1.403,0.309,2.022,0.649,1.942
juliantaylor,test,Human,16,3,5,5,1.0,3.2,1.0,4.382,0.525,1.0,5.333,3.0,5.859,0.458,5.5,2.667,1.0,4.082,0.521,0.0,1.2,1.0,0.447,0.133,0.0,24.565,0.0,60.173,0.0,0.0,224.213,146.095,298.915,0.568,101.378,84.564,0.965,192.028,0.805,90.967,229.294,146.095,294.345,0.538,101.378
stream-public-bot,test,Bot,32,2,2,1,0.5,16.0,16.0,21.213,0.469,15.0,16.0,16.0,15.556,0.344,11.0,10.667,4.0,14.224,0.542,13.0,1.5,1.5,0.707,0.167,0.5,611.556,112.188,963.722,0.439,861.24,3.986,3.986,3.219,0.285,2.276,59.44,0.23,126.516,0.824,12.088,0.219,0.122,0.325,0.637,0.269
adamjensenbot,test,Bot,209,6,5,5,1.0,41.8,10.0,75.041,0.656,3.0,34.833,28.0,39.174,0.545,44.5,3.426,1.0,4.529,0.559,2.0,2.0,1.0,2.236,0.4,0.0,25.61,0.0,62.29,0.646,13.137,4.184,1.158,9.789,0.768,3.333,8.717,1.538,18.782,0.783,7.687,7.224,1.298,16.236,0.794,5.563
nnfw-bot,test,Bot,24,5,1,1,1.0,24.0,24.0,0.0,0.0,0.0,4.8,3.0,3.633,0.367,4.0,24.0,24.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,2014.632,2014.632,0.0,0.0,0.0,,,0.0,0.0,,87.593,2.09,225.998,0.847,38.45,95.897,4.641,235.266,0.834,54.809
repo-ranger[bot],test,Bot,5,2,2,2,1.0,2.5,2.5,0.707,0.1,0.5,2.5,2.5,0.707,0.1,0.5,2.5,2.5,0.707,0.1,0.5,1.0,1.0,0.0,0.0,0.0,57.574,57.574,21.502,0.132,15.204,11.003,11.003,0.0,0.0,0.0,31.538,33.588,16.875,0.255,22.414,11.003,11.003,0.0,0.0,0.0
yunion-ci-robot,test,Bot,123,2,10,1,0.1,12.3,12.0,0.483,0.017,0.75,61.5,61.5,58.69,0.337,41.5,1.008,1.0,0.091,0.008,0.0,2.0,2.0,0.0,0.0,0.0,0.071,0.0,0.78,0.0,0.0,0.77,0.002,3.727,0.955,0.005,0.834,0.002,3.779,0.95,0.005,8.739,1.895,13.792,0.594,6.969
unikraft-bot,test,Bot,185,7,6,1,0.167,30.833,28.5,30.954,0.489,53.25,26.429,18.0,27.11,0.493,31.0,2.569,2.0,2.135,0.402,2.0,1.833,1.0,1.602,0.348,0.75,10.287,0.002,37.77,0.83,1.047,11.067,9.218,8.872,0.392,7.303,8.296,2.326,12.454,0.685,10.96,6.558,3.763,8.488,0.631,10.104
cpojer,test,Human,241,17,13,7,0.538,18.538,2.0,57.266,0.838,3.0,14.176,6.0,18.508,0.614,17.0,6.886,1.0,15.998,0.745,1.0,2.462,1.0,3.526,0.471,1.0,10.068,0.0,33.433,0.815,0.018,8.736,0.227,25.369,0.878,1.683,2.706,0.013,13.75,0.956,0.072,5.309,0.046,19.269,0.921,0.306
