contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
caijinglong,test,Human,291,10,10,6,0.6,29.1,4.5,71.987,0.8,13.0,29.1,3.5,80.798,0.818,2.75,10.778,2.0,24.591,0.706,6.0,2.7,1.0,2.406,0.426,3.5,15.954,0.022,50.005,0.843,6.674,1.434,1.34,1.192,0.457,1.93,1.614,0.038,1.934,0.612,3.915,0.568,0.031,0.983,0.755,0.578
kikobeats,test,Human,250,15,32,11,0.344,7.812,3.5,10.539,0.609,7.25,16.667,6.0,26.489,0.642,13.5,2.976,2.0,3.026,0.431,3.0,3.094,2.0,2.414,0.408,4.0,0.362,0.017,1.839,0.898,0.037,2.997,1.123,4.383,0.651,4.539,1.121,0.02,3.043,0.857,0.296,1.211,0.018,3.244,0.858,0.234
status-im-auto,test,Bot,300,2,9,5,0.556,33.333,11.0,45.571,0.611,25.0,150.0,150.0,67.882,0.16,48.0,3.409,1.0,15.196,0.666,1.0,1.0,1.0,0.0,0.0,0.0,0.467,0.0,1.463,0.607,0.098,1.175,0.4,2.055,0.674,0.713,0.479,0.036,1.321,0.823,0.321,1.724,0.519,2.618,0.662,0.855
bot-dcapt,test,Bot,158,4,1,1,1.0,158.0,158.0,0.0,0.0,0.0,39.5,29.5,26.739,0.285,17.0,158.0,158.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2107.551,2107.551,0.0,0.0,0.0,,,0.0,0.0,,13.424,0.0,42.221,0.879,0.244,17.752,0.0,49.714,0.872,4.19
delete-merged-branch[bot],test,Bot,300,2,71,44,0.62,4.225,2.0,3.848,0.395,4.0,150.0,150.0,0.0,0.0,0.0,2.344,2.0,1.282,0.136,0.0,2.0,2.0,0.0,0.0,0.0,0.007,0.0,0.025,0.847,0.0,0.178,0.107,0.195,0.538,0.207,0.079,0.0,0.154,0.694,0.088,0.06,0.0,0.142,0.742,0.045
docker-library-bot,test,Bot,300,2,11,2,0.182,27.273,1.0,46.753,0.729,25.5,150.0,150.0,199.404,0.47,141.0,2.344,1.0,3.373,0.46,1.0,1.091,1.0,0.302,0.076,0.0,0.347,0.0,1.811,0.792,0.082,0.188,0.111,0.222,0.581,0.213,0.228,0.103,0.356,0.643,0.22,0.011,0.001,0.021,0.766,0.005
sserrata,test,Human,256,13,21,18,0.857,12.19,1.0,32.556,0.826,0.0,19.692,10.0,39.052,0.651,14.0,4.267,2.5,4.916,0.519,5.0,1.857,1.0,2.78,0.422,0.0,10.339,0.104,29.284,0.744,1.657,6.674,4.9,6.102,0.508,11.673,3.977,0.351,7.223,0.773,1.839,3.043,0.085,5.272,0.771,2.932
codeforequity-at,test,Human,78,7,8,1,0.125,9.75,6.5,9.392,0.436,7.0,11.143,8.0,11.423,0.491,10.5,2.786,2.0,2.025,0.364,3.0,3.5,4.0,1.69,0.25,2.25,34.747,0.007,135.968,0.917,0.048,35.02,0.949,78.904,0.823,27.143,24.915,0.041,89.752,0.915,0.941,27.462,0.014,98.75,0.92,0.199
delnarersike,test,Human,153,8,4,3,0.75,38.25,34.5,32.139,0.384,20.25,19.125,2.5,45.655,0.782,3.75,6.955,2.0,15.006,0.694,4.5,3.75,3.5,0.957,0.117,1.25,57.339,0.273,153.231,0.77,6.788,7.866,1.19,18.705,0.81,4.407,9.386,1.015,21.287,0.798,7.211,3.82,0.288,13.522,0.86,1.703
atscott,test,Human,206,12,10,4,0.4,20.6,2.5,39.11,0.752,6.75,17.167,7.0,28.335,0.621,15.0,1.873,1.0,1.434,0.329,1.0,2.7,1.5,2.83,0.448,1.0,0.837,0.0,4.232,0.846,0.158,2.902,0.22,9.059,0.867,0.908,1.992,0.122,7.065,0.883,0.701,2.114,0.132,6.999,0.875,0.708
salesforce-org-metaci[bot],test,Bot,134,3,9,1,0.111,14.889,3.0,32.39,0.708,3.0,44.667,13.0,57.466,0.502,50.5,11.167,3.0,19.211,0.653,3.5,2.556,3.0,0.527,0.097,1.0,12.411,0.002,42.032,0.913,0.051,156.795,74.024,199.333,0.63,263.492,14.088,0.001,70.751,0.96,0.003,58.248,0.002,136.614,0.854,0.625
lanzagar,test,Human,13,5,3,3,1.0,4.333,2.0,4.933,0.462,4.5,2.6,2.0,2.074,0.369,2.0,3.25,2.0,3.202,0.404,1.75,2.0,2.0,1.0,0.222,1.0,126.547,0.092,252.972,0.666,126.575,182.265,1.026,314.762,0.665,272.836,87.749,0.512,203.652,0.834,1.615,109.681,1.026,243.754,0.797,1.328
netdatabot,test,Bot,245,5,5,1,0.2,49.0,8.0,69.653,0.604,48.0,49.0,38.0,35.475,0.359,38.0,1.885,1.0,2.23,0.411,0.0,1.8,1.0,1.789,0.356,0.0,1.663,0.0,4.402,0.413,0.0,9.86,2.304,13.875,0.635,13.924,6.099,1.117,11.054,0.721,7.781,5.964,1.102,11.369,0.735,7.489
abohmeed,test,Human,249,5,11,1,0.091,22.636,19.0,24.171,0.514,22.0,49.8,13.0,91.949,0.697,10.0,14.647,9.0,21.074,0.62,17.0,3.091,3.0,0.831,0.123,0.0,37.664,2.059,82.907,0.771,23.769,83.713,8.581,198.227,0.797,85.47,7.983,0.075,55.014,0.959,0.245,26.33,0.131,115.406,0.929,0.82
fatonramadani,test,Human,291,6,2,1,0.5,145.5,145.5,127.986,0.311,90.5,48.5,30.0,64.933,0.599,48.75,14.55,5.5,24.139,0.644,12.25,5.5,5.5,0.707,0.045,0.5,36.777,0.624,71.535,0.757,35.943,5.592,0.905,12.119,0.795,2.636,2.903,0.089,9.096,0.882,0.873,3.579,0.036,10.823,0.888,0.646
hacs-bot[bot],test,Bot,160,5,2,1,0.5,80.0,80.0,2.828,0.012,2.0,32.0,24.0,30.042,0.422,7.0,4.103,3.0,3.817,0.455,4.0,2.5,2.5,2.121,0.3,1.5,30.689,0.372,59.909,0.712,37.668,25.072,16.625,28.648,0.517,18.696,13.52,4.564,20.634,0.684,18.446,13.15,3.251,23.44,0.726,17.735
coorpacademybot,test,Bot,12,1,1,1,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1868.454,1868.454,0.0,0.0,0.0,,,0.0,0.0,,169.859,68.79,275.572,0.624,81.627,,,0.0,0.0,
bot-ross[bot],test,Bot,193,7,2,1,0.5,96.5,96.5,125.158,0.459,88.5,27.571,31.0,20.288,0.376,23.5,27.571,5.0,41.331,0.657,37.5,6.0,6.0,0.0,0.0,0.0,9.859,0.002,16.662,0.679,15.496,0.004,0.001,0.005,0.565,0.006,0.36,0.001,1.561,0.939,0.003,0.515,0.001,1.849,0.917,0.009
osrfbuild,test,Bot,122,3,2,2,1.0,61.0,61.0,4.243,0.025,3.0,40.667,32.0,15.011,0.142,13.0,1.627,1.0,2.123,0.308,1.0,2.0,2.0,0.0,0.0,0.0,17.939,0.0,92.737,0.878,1.032,10.13,0.033,37.098,0.916,2.214,17.315,0.894,58.473,0.893,3.804,12.126,0.071,45.776,0.918,2.066
botic,test,Human,5,2,5,5,1.0,1.0,1.0,0.0,0.0,0.0,2.5,2.5,2.121,0.3,1.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.291,338.14,272.65,0.313,236.369,401.291,338.14,272.65,0.313,236.369,782.021,782.021,0.0,0.0,0.0
cypress[bot],test,Bot,300,1,71,68,0.958,4.225,2.0,4.712,0.511,4.0,300.0,300.0,0.0,0.0,0.0,1.357,1.0,0.969,0.22,0.0,1.0,1.0,0.0,0.0,0.0,0.048,0.0,0.168,0.679,0.0,0.261,0.167,0.312,0.549,0.262,0.228,0.126,0.298,0.6,0.267,,,0.0,0.0,
greyli,test,Human,225,17,26,19,0.731,8.654,2.0,14.319,0.655,13.5,13.235,12.0,11.2,0.45,15.0,3.0,1.0,3.767,0.514,2.5,3.308,1.5,3.38,0.489,4.5,8.675,0.0,31.129,0.845,0.064,17.185,1.83,33.639,0.764,21.536,8.582,0.047,22.936,0.859,2.336,8.409,0.047,23.683,0.869,2.274
jhecking,test,Human,21,11,8,7,0.875,2.625,2.5,1.768,0.339,2.25,1.909,2.0,0.944,0.251,2.0,1.312,1.0,0.793,0.205,0.0,2.125,2.0,1.126,0.272,2.0,41.099,0.0,132.289,0.527,0.0,43.153,1.247,81.127,0.773,47.284,65.244,7.06,128.463,0.772,59.604,40.997,2.882,74.976,0.759,51.091
fluttergithubbot,test,Bot,293,6,83,3,0.036,3.53,2.0,8.529,0.442,0.0,48.833,3.0,110.329,0.782,3.75,1.655,2.0,0.826,0.224,1.0,1.048,1.0,0.346,0.045,0.0,0.075,0.0,0.297,0.875,0.002,0.236,0.134,0.27,0.553,0.308,0.188,0.059,0.277,0.678,0.281,0.074,0.0,0.152,0.705,0.1
petebacondarwin,test,Human,224,11,9,7,0.778,24.889,3.0,62.75,0.795,3.0,20.364,14.0,18.321,0.455,19.0,5.895,2.0,10.777,0.631,5.0,2.667,1.0,3.202,0.491,1.0,6.247,0.042,15.167,0.765,1.445,3.058,0.061,12.355,0.91,0.696,1.572,0.066,6.648,0.897,0.381,1.773,0.08,7.552,0.898,0.41
firkerword,test,Human,230,10,10,5,0.5,23.0,5.5,39.491,0.679,17.5,23.0,3.0,33.895,0.664,46.25,3.194,2.0,2.683,0.397,3.0,2.1,1.0,1.524,0.348,2.0,10.495,0.024,33.884,0.86,3.684,15.138,7.904,17.916,0.611,23.187,7.993,0.114,18.263,0.82,4.021,8.604,0.142,19.374,0.812,4.043
omex-github-bot-internal,test,Bot,18,2,1,1,1.0,18.0,18.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1512.25,1512.25,0.0,0.0,0.0,,,0.0,0.0,,88.956,0.001,164.384,0.719,167.979,56.009,0.001,76.633,0.634,142.672
jersey-bot,test,Bot,35,6,2,1,0.5,17.5,17.5,13.435,0.271,9.5,5.833,5.0,2.994,0.243,1.5,3.5,2.0,3.028,0.426,4.0,3.5,3.5,3.536,0.357,2.5,105.653,0.427,207.296,0.685,145.736,1.015,0.174,2.482,0.802,0.202,31.343,0.262,113.721,0.886,6.362,35.231,0.196,120.756,0.872,9.307
dkent600,test,Human,57,3,2,1,0.5,28.5,28.5,21.92,0.272,15.5,19.0,1.0,31.177,0.632,27.0,19.0,13.0,20.664,0.468,20.0,2.0,2.0,1.414,0.25,1.0,166.084,23.781,266.334,0.632,236.106,119.206,119.206,66.161,0.196,46.783,13.155,0.443,33.611,0.851,4.514,24.215,0.222,41.75,0.497,36.212
