contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
mend-for-github-com[bot],train,Bot,0.212,0.771,0.229,0.023,0.428,0.0,0.757,0.014,0.0,0.075,0.035,0.846,0.165,0.001,0.388,0.004,0.922,0.065,0.001,0.245,228,0.0,0.688,3.677,1.0,12.333,18.5,0.694,28.5,6.5,53.112,0.0,0.688,3.677,1.0,12.333,20,8,0.0,0.198,1.29,1.0,0.755,0.323
p0nce,train,Human,6.348,0.686,5.484,0.974,7.866,4.41,0.677,7.887,0.007,17.043,1.756,0.808,3.827,0.157,7.733,1.676,0.804,3.634,0.277,7.374,235,3.75,0.736,16.786,4.0,34.338,25.0,0.63,19.583,5.0,27.04,3.25,0.535,3.672,2.0,4.494,4,12,1.0,0.373,3.143,2.0,2.445,0.286
findinganand,train,Bot,0.765,0.73,5.195,0.608,8.954,0.068,0.436,0.19,0.0,0.347,0.367,0.849,0.817,0.11,2.601,0.761,0.778,3.759,0.611,7.791,289,123.75,0.44,72.25,73.0,72.491,7.0,0.754,57.8,7.0,118.671,1.0,0.183,1.431,1.0,0.562,2,5,1.5,0.312,2.0,1.5,1.414,0.5
changhiskhan,train,Human,138.813,0.393,142.818,116.917,113.953,108.747,0.637,137.922,0.002,280.935,165.031,0.64,155.484,67.292,234.475,166.092,0.696,121.491,49.664,198.275,16,2.0,0.375,4.0,2.0,4.0,3.0,0.312,4.0,3.0,2.828,2.0,0.339,2.286,2.0,1.604,2,4,0.75,0.25,2.25,2.0,1.258,0.5
ebraminio,train,Human,10.328,0.678,7.266,1.892,10.253,0.76,0.679,9.243,0.0,22.308,6.856,0.742,5.714,1.043,9.845,3.474,0.757,3.541,0.708,6.829,274,2.0,0.83,12.455,2.0,43.498,7.0,0.733,22.833,5.5,55.664,2.0,0.658,4.644,1.0,8.674,15,12,1.0,0.334,1.818,1.0,1.563,0.682
linux-foundation-easycla[bot],train,Bot,1.64,0.6,1.377,0.602,1.761,0.0,0.262,0.015,0.0,0.106,,0.0,,,0.0,1.615,0.599,1.359,0.601,1.745,300,1.0,0.489,2.459,1.0,4.108,0.0,0.0,300.0,300.0,0.0,0.0,0.023,1.024,1.0,0.153,32,1,0.0,0.0,1.0,1.0,0.0,0.262
relistan,train,Human,95.483,0.543,150.03,94.1,185.551,0.0,0.516,1.529,0.0,4.753,94.064,0.76,88.706,5.116,174.064,92.393,0.788,67.993,2.112,142.915,30,1.0,0.446,2.308,1.0,2.496,5.0,0.448,4.286,2.0,3.904,0.0,0.438,2.143,1.0,2.445,12,7,0.0,0.243,1.462,1.0,0.877,0.923
extenda-devops-bot,train,Bot,87.439,0.312,123.11,112.662,76.944,120.69,0.672,81.031,18.967,120.966,87.439,0.312,123.11,112.662,76.944,109.82,0.554,68.73,44.77,72.325,20,3.0,0.15,10.0,10.0,4.243,3.0,0.15,10.0,10.0,4.243,1.0,0.171,2.857,3.0,1.069,1,2,0.0,0.0,1.0,1.0,0.0,0.5
paulolimarb,train,Human,123.839,0.593,140.164,77.687,206.071,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,123.839,0.593,140.164,77.687,206.071,14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,14,1,0.0,0.0,1.0,1.0,0.0,1.0
srowen,train,Human,104.781,0.576,62.39,23.776,72.486,25.82,0.729,49.767,1.006,122.455,112.209,0.633,56.854,22.524,71.824,58.448,0.681,45.433,16.033,65.552,49,6.0,0.441,9.8,7.0,9.55,7.5,0.385,6.125,4.5,4.549,2.25,0.358,2.45,2.0,1.731,4,8,1.0,0.314,2.8,2.0,1.924,0.8
onf-cla-manager[bot],train,Bot,0.0,0.0,14.281,14.281,0.0,407.605,0.0,407.605,407.605,576.441,,0.0,,,0.0,295.317,0.597,165.898,32.622,213.486,6,2.0,0.333,3.0,3.0,2.828,0.0,0.0,6.0,6.0,0.0,2.0,0.333,3.0,3.0,2.828,2,1,0.0,0.0,1.0,1.0,0.0,1.0
