contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
slimslenderslacks,train,Human,160,15,16,7,0.438,10.0,3.0,18.826,0.688,6.75,10.667,3.0,27.123,0.746,5.5,2.462,1.0,2.622,0.456,1.0,2.375,1.0,1.928,0.388,2.0,16.351,0.0,48.744,0.752,1.652,17.475,2.424,49.086,0.812,15.354,13.718,1.652,35.874,0.8,13.643,15.991,1.083,45.377,0.833,11.202
ddunkin,train,Human,17,7,6,5,0.833,2.833,1.5,2.787,0.441,2.5,2.429,2.0,1.272,0.235,0.5,1.545,1.0,0.82,0.246,1.0,1.667,1.0,1.211,0.3,0.75,0.408,0.0,0.796,0.416,0.374,86.095,9.742,215.323,0.824,48.952,54.09,1.232,172.162,0.885,15.519,70.694,1.268,197.988,0.862,27.335
zacharycmontoya,train,Human,172,10,12,4,0.333,14.333,1.0,26.116,0.735,10.0,17.2,5.0,25.832,0.652,11.25,2.688,1.5,3.152,0.468,2.0,2.417,1.0,2.234,0.422,2.25,14.762,0.003,47.205,0.803,2.731,13.899,2.772,23.451,0.714,17.13,10.646,0.877,31.041,0.839,4.695,11.131,1.16,24.486,0.806,7.377
infinitered-circleci,train,Bot,128,5,3,1,0.333,42.667,32.0,43.004,0.438,42.0,25.6,21.0,16.134,0.281,12.0,8.0,5.5,8.847,0.503,8.25,3.0,3.0,2.0,0.296,2.0,55.382,0.024,118.177,0.785,7.156,76.857,18.583,106.833,0.666,90.945,16.055,0.001,61.326,0.936,0.002,32.309,0.001,86.173,0.871,0.059
webtorrent-bot,train,Bot,129,5,10,1,0.1,12.9,7.0,13.119,0.438,6.0,25.8,21.0,24.854,0.422,4.0,8.062,5.0,7.937,0.387,2.5,4.0,4.0,0.667,0.08,0.0,47.378,0.005,189.469,0.937,0.003,45.245,1.0,105.688,0.84,2.771,11.224,0.001,55.201,0.958,0.001,17.737,0.001,68.705,0.929,0.008
artsy-peril[bot],train,Bot,138,3,16,1,0.062,8.625,2.0,15.139,0.7,3.0,46.0,50.0,40.15,0.386,40.0,1.568,1.0,1.026,0.276,1.0,1.312,1.0,0.602,0.188,0.25,2.633,0.0,13.31,0.857,0.223,4.801,0.94,10.96,0.779,3.434,4.74,0.558,12.254,0.815,2.455,3.538,0.416,8.846,0.812,1.802
csigs,train,Bot,266,6,19,6,0.316,14.0,8.0,14.799,0.476,10.0,44.333,44.0,35.138,0.391,53.5,1.739,1.0,1.151,0.282,1.0,2.263,2.0,0.653,0.13,0.5,2.314,0.0,13.511,0.929,0.002,6.587,4.443,6.895,0.553,9.929,5.114,0.736,7.458,0.703,7.421,4.089,1.965,5.411,0.663,6.379
hawkbit-bot,train,Bot,115,4,2,1,0.5,57.5,57.5,74.246,0.457,52.5,28.75,4.0,50.849,0.676,27.25,23.0,4.0,42.644,0.713,9.0,2.0,2.0,1.414,0.25,1.0,366.41,0.719,678.833,0.568,268.5,88.404,93.141,75.687,0.408,106.02,19.173,2.167,38.118,0.773,19.167,45.342,25.792,59.115,0.638,52.933
graviteeio,train,Bot,181,7,22,1,0.045,8.227,6.5,5.089,0.319,6.75,25.857,13.0,31.083,0.579,37.0,4.209,3.0,2.858,0.345,3.5,3.091,3.0,0.921,0.15,1.0,0.19,0.001,0.814,0.929,0.005,4.566,0.084,17.3,0.92,0.657,1.111,0.001,8.507,0.973,0.003,1.088,0.001,8.528,0.962,0.028
freightbot,train,Bot,72,2,1,1,1.0,72.0,72.0,0.0,0.0,0.0,36.0,36.0,48.083,0.472,34.0,72.0,72.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2049.72,2049.72,0.0,0.0,0.0,,,0.0,0.0,,28.869,0.165,58.96,0.816,9.109,76.771,75.988,88.451,0.502,152.367
willkroboth,train,Human,61,11,7,4,0.571,8.714,3.0,13.263,0.609,5.5,5.545,2.0,8.583,0.629,2.5,4.357,2.0,6.652,0.582,3.5,2.857,2.0,2.116,0.357,2.0,93.136,0.258,171.86,0.592,99.504,62.382,0.628,106.801,0.756,75.142,35.248,0.969,69.515,0.789,26.37,49.036,12.903,79.353,0.715,70.087
juliacontrolbot,train,Bot,9,2,2,2,1.0,4.5,4.5,0.707,0.056,0.5,4.5,4.5,0.707,0.056,0.5,1.125,1.0,0.354,0.097,0.0,1.0,1.0,0.0,0.0,0.0,33.218,0.0,93.954,0.0,0.0,119.773,0.004,313.152,0.854,4.249,138.019,0.005,294.48,0.811,72.804,119.773,0.004,313.152,0.854,4.249
marcmcintosh,train,Human,227,10,4,2,0.5,56.75,2.0,110.168,0.73,55.25,22.7,12.5,32.0,0.616,23.75,28.375,1.5,73.83,0.831,2.5,3.5,2.0,3.697,0.429,2.0,53.927,0.016,143.629,0.724,5.657,58.599,1.979,107.49,0.757,63.479,3.724,0.258,21.059,0.91,0.629,4.606,0.174,25.184,0.925,0.608
